Team 1,Team 2,Ground,Dates,Winner,Toss
CSK,DD,Chennai,4/15/10,DD,CSK
KXIP,DC,Dharmsala,4/16/10,DC,DC
MI,RCB,Bangalore,4/17/10,MI,RCB
RR,KKR,Kolkata,4/17/10,KKR,RR
KXIP,CSK,Dharmsala,4/18/10,CSK,CSK
DC,DD,Delhi,4/18/10,DC,DC
MI,KKR,Kolkata,4/19/10,KKR,MI
MI,RCB,Mumbai,4/21/10,MI,MI
CSK,DC,Mumbai,4/22/10,CSK,CSK
DC,RCB,Mumbai,4/24/10,RCB,DC
CSK,MI,Mumbai,4/25/10,CSK,CSK
DD,MI,Delhi,4/10/11,MI,DD
KXIP,PWI,Mumbai,4/10/11,PWI,KXIP
KKR,DC,Kolkata,4/11/11,KKR,KKR
DD,RR,Jaipur,4/12/11,RR,DD
RCB,MI,Bangalore,4/12/11,MI,MI
CSK,KXIP,Mohali,4/13/11,KXIP,KXIP
KTK,PWI,Mumbai,4/13/11,PWI,KTK
DC,RCB,Hyderabad,4/14/11,DC,RCB
RR,KRK,Jaipur,4/15/11,KRK,KRK
